id,name,distance,denivele,altitude_max,altitude_min,title
286,GRP-vie-yon,88.0,438,81,24,Tour entre Vie et Yon (Vendée)
287,GRP-levezou-monts,109.0,2646,1141,621,Tour des Monts du Lévézou (Aveyron)
288,GRP-perics,46.0,2289,2587,1880,"Tour des Pérics (Pyrénées-Orientales, Ariège)"
289,GRP-ceze,57.0,2273,978,167,Tour de la Haute Vallée de la Cèze (Gard-Ardèche)
290,GRP-chassezac,46.0,1610,1090,323,Tour des Gorges du Chassezac (Lozère)
291,GRP-omois,219.0,2961,252,55,"Tour de l'Omois (Aisne, Marne, Oise) "
292,GRP-paris,18.0,183,70,31,Traversée de Paris (Ouest-Est)
293,GRP-avaloirs,122.0,1680,415,105,"Tour du Mont des Avaloirs (Mayenne, Orne, Sarthe)"
294,GRP-ambazac,124.0,2280,638,310,Tour des Monts d'Ambazac (Haute-Vienne)
295,GRP-lo-camin-olt,122.0,4723,699,205,Tour sur Lo Camin d'Olt (Aveyron)
296,GRP-ceinture-verte-ile-de-france,262.0,2477,188,21,Tour de la Ceinture Verte d'Ile-de-France
297,GRP-suisse-normande,110.0,2687,266,22,"Tour de la Suisse normande (Calvados, Orne)"
298,GRP-midi-correzien,115.0,2990,518,129,Tour du Midi Corrézien (Corrèze)
299,GRP-paris2,26.0,248,126,38,Traversée de Paris (Ouest-Est-Sud)
300,GRP-TMB,159.0,10383,2528,977,"Tour du Mont-Blanc (Haute-Savoie, Suisse, Italie)"
301,GRP-limousine,91.0,798,223,79,Tour de la Vienne Limousine (Vienne)
302,GRP-hautes-terres-oc,191.0,4575,1242,173,"Tour des Hautes Terres d'Oc (Tarn, Hérault)"
303,GRP-morvan,231.0,6437,813,272,"Tour du Morvan (Nièvre, Saône-et-Loire, Côte-d'Or, Yonne)"
304,GRP-haute-vallee-thore,80.0,2343,994,259,"Tour de la Haute Vallée du Thoré (Tarn, Aude, Hérault)"
305,GRP-chalosse,52.0,614,120,27,Tour de la Haute Chalosse (Landes)
306,GRP-boulonnais,116.0,1287,201,8,Tour du Boulonnais (Pas-de-Calais)
307,GRP-marches-de-bretagne,74.0,630,181,46,Marches de Bretagne 
308,GRP-pouzauges-fiefs,63.0,781,277,73,Tour des Fiefs de Pouzauges (Vendée)
309,GRP-uchaux,45.0,930,257,36,Tour du Massif d'Uchaux (Vaucluse)
310,GRP-carlit,50.0,2220,2433,1406,Tour du Carlit (Pyrénées-Orientales)
311,GRP-courbet,106.0,2865,883,295,Tour du Pays de Courbet (Doubs)
312,GRP-sarce-hozain,80.0,815,321,136,Tour des Vallées de la Sarce et de l'Hozain (Aube)
313,GRP-grands-crus,88.0,1774,455,214,Grands Crus 
314,GRP-viganais,59.0,2427,1295,222,Tour du Viganais (Gard)
315,GRP-marches-de-meuse,99.0,1820,365,165,Tour des Marches de Meuse (Meuse)
316,GRP-chartreuse,104.0,6504,1903,578,"Tour de Chartreuse (Isère, Savoie)"
317,GRP-gervanne,101.0,4119,1384,215,
318,GRP-lyonnais-coteaux,84.0,2212,924,224,Tour des Coteaux du Lyonnais (Rhône)
319,GRP-mailles,164.0,4691,1164,460,Tour de Robe de Bure et Cotte de Mailles (Haute-Loire)
320,GRP-sevre-et-maine-bocage,144.0,1182,241,19,"Tour du bocage de Sèvre et Maine (Loire-Atlantique, Vendée)"
321,GRP-troyes,66.0,488,264,97,Tour de Troyes (Aube)
322,GRP-deodatie-nord,133.0,4240,804,280,"Tour de la Déodatie Nord (Vosges, Meurthe-et-Moselle)"
323,GRP-troisvillages,9.0,422,1172,808,Tour des trois villages au pays Toy (Hautes-Pyrénées)
324,GRP-pouzauges-puys,58.0,775,284,97,Tour des Puys de Pouzauges (Vendée)
325,GRP-dombes,99.0,1320,709,166,Traversée de la Dombes
326,GRP-buech-meouge,76.0,3593,1609,557,"Tour de Buëch et Méouge (Drôme, Hautes-Alpes)"
327,GRP-sylve-argenson,42.0,279,162,34,Traversée de la Sylve d'Argenson
328,GRP-cevenol,96.0,3650,1169,138,Le Cévenol De La Bastide-Puylaurent (Lozère) à Génolhac (Gard)
329,GRP-crozon,148.0,3370,325,0,Tour de la presqu'île de Crozon (Finistère)
330,GRP-ardechoise,242.0,7349,1549,660,Tour de la Montagne Ardéchoise (Ardèche)
331,GRP-petites-roches,40.0,2698,1625,682,Tour des Petites Roches (Isère)
332,GRP-meandres-yonne,71.0,963,236,123,Tour des Méandres de l'Yonne
333,GRP-provence-mines-energies-sud,64.0,1878,627,184,Tour en Provence Mines d'énergies Sud (Bouches-du-Rhône)
334,GRP-dieulefit,110.0,5037,1316,213,Tour du Pays de Dieulefit (Drôme)
335,GRP-provence-mines-energies-est,43.0,785,649,256,Tour en Provence Mines d'énergies Est (Bouches-du-Rhône)
336,GRP-sevre-et-maine-collines,83.0,876,274,61,Tour des collines de Sèvre et Maine (Vendée)
337,GRP-paris1,21.0,148,94,30,Traversée de Paris (Nord-Sud)
338,GRP-chatillon-sur-indre,56.0,471,191,91,Tour du pays de Châtillon-sur-Indre (Indre)
